theme_id,n_total,current_label,new_label,is_mixed,supports_share,description,notes
t8,229,Exclamations and Questions,MIXED,1,0.1,"Cluster contains mostly question mark symbols with no discernible shared topic or meaning. A few scattered comments include actual questions or statements, but the vast majority are just punctuation marks expressing confusion or questioning without context.",Over 90% of shown samples are just '??' or variations of question marks. These are not about any particular topic—they're just punctuation reactions. The few actual comments don't share a theme.
t6,87,Media Identification,Movie Name Requests,0,0.85,"Comments asking for the name or title of a movie or show being discussed, with some responses about availability or identification.",Clear pattern of people asking 'Movie name?' or 'What's the movie?' with occasional responses about finding or identifying the content.
t4,86,Smooth and Youthful,Smooth Move Compliments,0,0.75,"Comments praising someone's smooth, charming, or clever action (often related to 'rizz' or flirting), with enthusiastic approval.",Majority are variations of 'smooth' compliments with emojis. Some tangential comments but core theme is clear praise for someone's slick move.
t2,76,Step-by-Step Instructions,MIXED,1,0.2,"Cluster contains scattered reactions and unrelated comments including step-by-step joke formats, personal anecdotes, references to finding content, and various off-topic remarks with no unifying theme.","Current label 'Step-by-Step Instructions' doesn't fit. Only a few comments follow that format. Most are random reactions, references, or tangential statements."
t0,51,Personal Statements,MIXED,1,0.15,"Cluster contains diverse personal reactions including skeptical statements, self-deprecating humor, song lyric references, complaints about behavior, and unrelated observations with no shared topic.","No coherent theme. Mix of 'this won't work for me' statements, song lyrics ('Turn Around'), complaints about people, and random personal commentary."
t11,47,Positive Affirmations,Short Minimal Reactions,0,0.8,"Very brief, minimal responses including single words, letters, or short phrases like 'oh', 'nice', 'smooth', 'perfect' with little elaboration.","Current label 'Positive Affirmations' is misleading—these aren't affirmations, just short reactions. Most are 1-2 words, some positive, some neutral."
t1,46,Observations on Women,Critical Comments About Woman,0,0.7,"Comments criticizing, mocking, or making negative observations about a woman's behavior, intelligence, or attitude in the content being discussed.","Majority are negative comments about 'she' or 'women' being dumb, annoying, or having misplaced confidence. Some neutral observations mixed in."
t7,32,Wordplay on 'Knee',Knee Pun Wordplay,0,0.85,"Comments playing on the homophone confusion between 'need' and 'kneed' (hit with knee), making jokes or asking about the wordplay.",Clear pattern of people making or questioning the 'kneed/need' pun. Most comments directly engage with this wordplay.
t10,17,AI or Fake Content,AI Content Questions,0,0.75,"Comments questioning whether the content is AI-generated, fake, or asking what show/movie it's from with skepticism about authenticity.",Most comments question if content is AI or ask about source with skeptical tone. A few unrelated comments but core theme is clear.
t9,15,Speeding and Traffic Stops,Traffic Stop Debate,0,0.95,"Comments debating speeding, traffic stops, police procedures, and whether someone was justified in being pulled over or agitated.","Very focused discussion about a traffic stop scenario, speeding violations, and appropriate responses to police. Highly coherent theme."
t5,3,Conflict and Consequences,Strike System References,0,1.0,Comments referencing a 'strikes' system and discussing violent consequences or limits of patience in a specific scenario.,"Only 3 comments total, all discussing 'strikes' and escalation. Too small to be meaningful but technically coherent."
